Kode;Modul;Skenario Pengujian;Data Uji;Hasil yang Diharapkan;Hasil Aktual;Kesimpulan
PP-01;Portal Publik;Memuat portal & kelengkapan kartu berita;-;"Nav MBGwatch; judul ""Temuan Terbaru""; chip Semua + 7 kategori; maks 9 kartu (kategori, pill sentimen, judul, cuplikan, sumber, tanggal); tombol Selengkapnya";;
PP-02;Portal Publik;Filter kategori & kembali ke Semua;"Chip ""Keracunan & Masalah Kesehatan""";"Daftar dimuat ulang sesuai kategori terpilih; klik Semua mengembalikan seluruh artikel";;
PP-03;Portal Publik;Muat bertahap Selengkapnya hingga habis;Kategori dengan artikel sedikit;"9 kartu ditambahkan per klik (append); saat habis tampil ""Semua N artikel telah ditampilkan.""";;
PP-04;Portal Publik;Navigasi portal <-> dashboard;-;"Nav ""Dashboard"" menuju /dashboard; tombol ""<- Portal Publik"" kembali ke /";;
PP-05;Portal Publik;Backend nonaktif (negatif);Backend dihentikan;"Kotak kesalahan merah + arahan ""pastikan backend berjalan di http://localhost:8000""; aplikasi tidak crash";;
DB-01;Dashboard Statistik;Memuat dashboard;-;Header, filter, 4 kartu statistik, donat, tren, tabel, dan 2 panel analisis tampil lengkap;;
DB-02;Dashboard Statistik;Kebenaran kartu statistik;Data awal 734 artikel;"Total Artikel 734; Positif 22.9%; Negatif 46.3%; Netral 30.8%";;
DB-03;Dashboard Statistik;Grafik donat & tren;-;"Donat 3 segmen warna standar + label persen + tooltip ""N artikel"" + legenda; tren 3 garis, sumbu-X 2026-01..2026-06";;
DF-01;Filter & Tabel;Tabel awal & paginasi;-;"Kolom Judul/Portal/Tanggal/Sentimen/Aksi; ""Menampilkan 1-10 dari 734 artikel""; ""Halaman 1 / 74""; Sebelumnya nonaktif di hal. 1; hal. 2 = 11-20";;
DF-02;Filter & Tabel;Filter portal & sentimen;Portal=Detik, lalu + Sentimen=Negatif;"Semua baris berportal Detik; setelah ditambah sentimen semua baris negatif; total mengecil bertahap";;
DF-03;Filter & Tabel;Rentang tanggal & kombinasi (AND);2026-06-01 s.d. 2026-06-30, lalu Detik+negatif+rentang sama;"Semua baris bertanggal Juni 2026; kombinasi memenuhi ketiga kriteria (+-69 artikel)";;
DF-04;Filter & Tabel;Pencarian judul;Kata kunci: keracunan;"Semua judul memuat kata keracunan (tak peka kapital); Enter memberi hasil sama dengan tombol Terapkan";;
DF-05;Filter & Tabel;Filter tanpa hasil (negatif);Kata kunci: xyzabc123;"Pesan ""Tidak ada artikel yang cocok dengan filter.""; ""Menampilkan 0-0 dari 0 artikel""; tidak error";;
DF-06;Filter & Tabel;Reset filter;Klik Reset;"Seluruh isian kosong; tabel kembali menampilkan 734 artikel halaman 1";;
CR-01;CRUD Sentimen;Ubah sentimen + persistensi;mis. netral -> positif;"Dropdown 3 kelas tampil; setelah simpan badge baru; statistik & grafik ter-update otomatis; setelah muat ulang label tetap; portal ikut berubah";;
CR-02;CRUD Sentimen;Batal ubah;Klik tombol batal;"Nilai kembali semula; tidak ada perubahan data";;
CR-03;CRUD Sentimen;Hapus artikel (konfirmasi OK);Baris uji mana pun;"Baris hilang; total artikel & statistik berkurang 1";;
CR-04;CRUD Sentimen;Batal hapus;Klik hapus lalu Cancel;Tidak ada perubahan;;
CR-05;CRUD Sentimen;PATCH sentimen tak valid (API, negatif);"Body {""sentimen"": ""bagus""}";"400 - ""Sentimen tidak valid. Pilihan: negatif, netral, positif.""";;
CR-06;CRUD Sentimen;PATCH/DELETE id tak terdaftar (API, negatif);id tidak-ada;"404 - ""Artikel tidak ditemukan."" untuk keduanya";;
AT-01;Analisis Teks;Analisis teks tiga kelas;Teks T-POS-1, T-NEG-1, T-NET-1 (lampiran);"Tiap analisis menampilkan label + keyakinan NN.N% + 3 bilah probabilitas bertotal +-100%; label dicatat apa adanya";;
AT-02;Analisis Teks;Validasi teks kosong (negatif);String kosong dan string spasi;"Pesan ""Teks tidak boleh kosong.""; tidak ada permintaan ke server; tidak ada hasil baru";;
AU-01;Analisis URL;Analisis URL artikel valid;URL U-VAL-1 (lampiran);"Tombol ""Menganalisis..."" selama proses; hasil: judul (tautan tab baru), portal, tanggal, sentimen + keyakinan NN.N% + probabilitas + teks dianalisis";;
AU-02;Analisis URL;Validasi format URL (negatif);Kosong, lalu www.detik.com/berita-mbg;"Kosong: ""URL tidak boleh kosong.""; tanpa skema: ""Masukkan URL lengkap diawali http:// atau https://""";;
AU-03;Analisis URL;URL tak terjangkau / bukan artikel (negatif);https://situs-tidak-ada-xyz123.com/berita, lalu https://example.com;"Domain fiktif: pesan gagal akses dari server; halaman non-artikel: pesan gagal ekstraksi; aplikasi stabil";;
AP-01;Antarmuka API;GET /api/artikel;Tanpa parameter;200 - data berisi 10 artikel berkolom lengkap (termasuk sumber), total 734, page 1, limit 10;;
AP-02;Antarmuka API;GET /api/statistik;-;"200 - total 734; per_kelas 340/226/168; tren 6 bulan; 10 portal; 7 kategori";;
AP-03;Antarmuka API;Nilai batas page & limit (negatif);page=0 dan limit=101;"Keduanya 422; pembanding page=1 & limit=100 merespons 200";;
AP-04;Antarmuka API;Validasi teks prediksi (negatif);"{""teks"": """"} lalu {""teks"": ""   ""}";"Kosong -> 422; spasi -> 400 dengan detail ""Teks tidak boleh kosong.""";;
KB-01;Kompatibilitas;Lintas peramban & responsivitas;"Chrome, Edge, Firefox; lebar 375-620 px";"Perilaku konsisten di ketiga peramban; layar sempit: kisi 1 kolom, menu menyusut, grafik menumpuk, tabel dapat digulir";;
