id,portal,tanggal_terbit,url,judul,clean_text,label,confidence
3e4d57823a21,Tribunnews,2026-06-06,https://www.tribunnews.com/nasional/7838716/kejagungkpk-tangkap-pejabat-dpr-negara-sedang-bersih-bersih,"Kejagung–KPK Tangkap Pejabat, DPR: Negara Sedang Bersih-bersih - Tribunnews.com","Kejagung–KPK Tangkap Pejabat, DPR: Negara Sedang Bersih-bersih - Tribunnews.com. Kasus Korupsi di BGN Kejagung–KPK Tangkap Pejabat, DPR: Negara Sedang Bersih-bersih DPR menilai penangkapan pejabat oleh Kejagung dan KPK sebagai tanda bersih-bersih hukum, bukan pelemahan negara. Ringkasan Berita: TRIBUNNEWS.COM, JAKARTA – Wakil Ketua Komisi III DPR RI Ahmad Sahroni menilai penangkapan sejumlah pejabat oleh Kejaksaan Agung (Kejagung) dan Komisi Pemberantasan Korupsi (KPK) menunjukkan bahwa proses penegakan hukum di Indonesia sedang berjalan dan tidak tebang pilih.",negatif,0.4263
0e825e5552f5,Antara,2026-06-03,https://www.antaranews.com/berita/5593188/kemenag-publikasi-ilmiah-ptki-harus-beri-dampak-nyata,Kemenag: Publikasi ilmiah PTKI harus beri dampak nyata,"Kemenag: Publikasi ilmiah PTKI harus beri dampak nyata. Jakarta (ANTARA) - Sekretaris Jenderal Kementerian Agama Kamaruddin Amin menegaskan publikasi ilmiah dan penelitian Perguruan Tinggi Keagamaan Islam (PTKI) harus berorientasi pada dampak nyata bagi masyarakat dan negara, bukan sekadar mengejar pengakuan akademik atau indeksasi internasional. “Penelitian harus benar-benar impactful, responsif terhadap realitas dan kebutuhan masyarakat.",netral,0.4341
dec91eb6d83b,Suara,2026-06-04,https://www.suara.com/entertainment/2026/06/04/170014/eksperimen-gila-lagu-mbg-kawin-dengan-manufaktur-replika-baptis-milik-deadsquad,Eksperimen Gila! Lagu MBG 'Kawin' dengan Manufaktur Replika Baptis Milik DeadSquad,"Eksperimen Gila! Lagu MBG 'Kawin' dengan Manufaktur Replika Baptis Milik DeadSquad. - Akun @musiknyadimas berkolaborasi dengan Stevi Item menggabungkan vokal lagu parodi ""MBG"" dengan instrumen cadas ""Manufaktur Replika Baptis"" milik DeadSquad. - Hasil penyuntingan yang sangat sinkron membuat Stevi Item terheran-heran dan memicu reaksi kocak serta apresiasi tinggi dari netizen di media sosial.",positif,0.4402
e26e94de0117,Antara,2026-06-04,https://www.antaranews.com/berita/5594357/kejagung-ungkap-sudah-pelajari-kasus-korupsi-mbg-sejak-lama,Kejagung ungkap sudah pelajari kasus korupsi MBG sejak lama,"Kejagung ungkap sudah pelajari kasus korupsi MBG sejak lama. Jakarta (ANTARA) - Kejaksaan Agung (Kejagung) mengungkapkan bahwa sudah mempelajari kasus dugaan korupsi tata kelola program Makan Bergizi Gratis (MBG) pada Badan Gizi Nasional (BGN) tahun 2025–2026 sejak lama. Direktur Penyidikan (Dirdik) Jaksa Agung Muda Bidang Tindak Pidana Khusus (Jampidsus) Kejagung Syarief Sulaeman Nahdi mengatakan Kejaksaan memang memberi atensi pada program-program untuk rakyat, salah satunya Makan Bergizi Gratis (MBG).",negatif,0.4406
29ab21dae247,Antara,2026-06-03,https://www.antaranews.com/berita/5592425/kampanye-pencegahan-merokok-perlu-dimasifkan-dalam-kurikulum,Kampanye pencegahan merokok perlu dimasifkan dalam kurikulum,"Kampanye pencegahan merokok perlu dimasifkan dalam kurikulum. Jakarta (ANTARA) - Wakil Menteri Kesehatan Benjamin Paulus Octavianus mengatakan, kampanye pencegahan merokok perlu digalakkan melalui dunia pendidikan, seperti melalui edukasi tentang dampak merokok dalam kurikulum di SD dan SMP, guna mencegah adiksi dan kesakitan di masa depan. ""Datanya sangat jelas, jadi saya pikir umur 15-19 tahun itulah yang terpenting menurut saya.",netral,0.4472
e60678180777,Antara,2026-05-28,https://www.antaranews.com/berita/5585064/indonesia-ingin-belajar-dari-china-soal-pengentasan-kemiskinan,Indonesia ingin belajar dari China soal pengentasan kemiskinan,"Indonesia ingin belajar dari China soal pengentasan kemiskinan. Beijing (ANTARA) - Wakil Menteri Desa dan Pembangunan Daerah Tertinggal Ahmad Riza Patria mengatakan pemerintah Indonesia ingin belajar dari China dalam pelaksanaan program-program pengentasan kemiskinan. ""Yang penting untuk dipelajari bukan hanya program, tapi prosedural, sistematika, teknik mengatasi masalah, problem solving dan juga antisipasi semua, manajemen lainnya.",netral,0.4578
ab4e71c5b726,Tribunnews,2026-06-06,https://www.tribunnews.com/nasional/7838760/tii-undang-bgn-bahas-kajian-potensi-korupsi-mbg-sejak-tahun-lalu-tapi-tak-pernah-datang,"TII Undang BGN Bahas Kajian Potensi Korupsi MBG sejak Tahun Lalu, tapi Tak Pernah Datang - Tribunnews.com","TII Undang BGN Bahas Kajian Potensi Korupsi MBG sejak Tahun Lalu, tapi Tak Pernah Datang - Tribunnews.com. Kasus Korupsi di BGN TII Undang BGN Bahas Kajian Potensi Korupsi MBG sejak Tahun Lalu, tapi Tak Pernah Datang BGN berulang kali diundang oleh TII untuk bahas kajian pencegahan korupsi dalam program MBG tapi tidak pernah datang. Ringkasan Berita: - TII berulang kali mengundang BGN untuk membahas soal pencegahan korupsi dalam implementasi program MBG.",negatif,0.4612
accf5a59482f,Detik,2026-06-04,https://www.detik.com/bali/nusra/d-8517166/kepala-bgn-ditangkap-satgas-mbg-ntb-minta-tak-percaya-jual-beli-sppg,"Kepala BGN Ditangkap, Satgas MBG NTB Minta Tak Percaya Jual-Beli SPPG","Kepala BGN Ditangkap, Satgas MBG NTB Minta Tak Percaya Jual-Beli SPPG. Pergantian sekaligus penahanan Kepala Badan Gizi Nasional (BGN) Dadan Hindayana dipastikan tidak akan mengganggu pelaksanaan Program Makan Bergizi Gratis (MBG) di Nusa Tenggara Barat (NTB). Ketua Satuan Tugas (Satgas) MBG NTB, Fathul Gani, pun meminta masyarakat tidak mudah percaya terhadap pihak-pihak yang mengaku dapat memperjualbelikan lokasi atau titik pembangunan SPPG.",negatif,0.4663
e9e49b5cf7ed,Liputan6,2026-04-05,https://www.liputan6.com/disabilitas/read/6310290/cerita-susanto-koki-mbg-yang-tetap-bekerja-meski-kaki-tak-bisa-ditekuk,"Cerita Susanto, Koki MBG yang Tetap Bekerja Meski Kaki Tak Bisa Ditekuk","Cerita Susanto, Koki MBG yang Tetap Bekerja Meski Kaki Tak Bisa Ditekuk. Liputan6.com, Jakarta - Kecelakaan yang dialaminya tak membuat Susanto, 37 tahun, larut dalam kesedihan. Meski kaki kanannya belum bisa ditekuk sejak peristiwa nahas pada 2005, ia tetap memilih melanjutkan hidup dengan penuh semangat.",positif,0.4674
58e0e123b11e,Antara,2026-05-25,https://www.antaranews.com/berita/5581732/satgas-kualitas-mbg-tetap-sesuai-standar-meski-anggaran-dikurangi,Satgas: Kualitas MBG tetap sesuai standar meski anggaran dikurangi,"Satgas: Kualitas MBG tetap sesuai standar meski anggaran dikurangi. Mataram (ANTARA) - Satuan Tugas Makan Bergizi Gratis (MBG) Kota Mataram, Provinsi Nusa Tenggara Barat memastikan kualitas MBG bagi siswa maupun ibu hamil, ibu menyusui, dan balita tetap sesuai standar meskipun anggaran berkurang. ""Pengurangan anggaran kami tegaskan tidak akan mengorbankan kualitas atau kandungan gizi makanan yang disajikan,"" kata Ketua Satgas MBG Kota Mataram H Lalu Martawang di Mataram, Senin.",netral,0.4784
